Name,Price,Market price,Location,Thumbnail,Images,Gear,Odometer,Fuel type,Car condition,Other features,Dealer name,Page link,Second Condition,Make,Model,Year of Manufacture,Color,Registered Car,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Seats,Exchange Possible,VIN Chassis number
Mercedes-Benz M Class ML 350 4x2 2010 White,"₦ 8,750,000",₦ 8 M ~ 8.5 M,"Lagos, Ajah",https://pictures-nigeria.jijistatic.com/103342814_NjIwLTQ2NS05MDczZDBiZGQ5.webp,https://pictures-nigeria.jijistatic.com/103342814_MTExLTgzLTkwNzNkMGJkZDk.webp | https://pictures-nigeria.jijistatic.com/103342787_MTExLTgzLTNhZjE3NDljZGY.webp | https://pictures-nigeria.jijistatic.com/103342790_MTExLTgzLWUyMjA4OGFlM2I.webp | https://pictures-nigeria.jijistatic.com/103342792_MTExLTgzLWVjNWM4NzIwMzc.webp | https://pictures-nigeria.jijistatic.com/103342797_MTExLTgzLWRhZGI1ZDBjNDQ.webp,Automatic,,Petrol,Foreign Used,,Power Cars NG Ltd,https://jiji.ng/ajah/cars/mercedes-benz-m-class-ml-350-4x2-2010-white-3b5XuCNcHjEcWdh0FdzDPjMM.html,No faults,Mercedes-Benz,M Class,2010,White,No,ML 350 4x2,SUV,Rear Wheel,3500           cc,6,268           hp,5,,
Toyota Venza 2014 Silver,"₦ 12,999,999,",₦ 12.09 M ~ 13 M,"Oyo, Ibadan",https://pictures-nigeria.jijistatic.com/117363813_NjIwLTgyOC1iYTdjNDAzYzBm.webp,https://pictures-nigeria.jijistatic.com/117363813_MTExLTE0OC1iYTdjNDAzYzBm.webp | https://pictures-nigeria.jijistatic.com/117363815_MTExLTE0OC0zYTY0NmYwNzM2.webp | https://pictures-nigeria.jijistatic.com/117363818_MTExLTE0OC01MjQzMWM5ZTBl.webp | https://pictures-nigeria.jijistatic.com/117363819_MTExLTE0OC1mMjdlYjk5NjRj.webp | https://pictures-nigeria.jijistatic.com/117363822_MTExLTE0OC1iYTM0Njc5NTBl.webp,Automatic,,,Foreign Used,,Michael Kolawole Erunkulu,https://jiji.ng/ibadan/cars/toyota-venza-2014-silver-cJgmT4UcXUrTW5ct4tGazbO7.html,No faults,Toyota,Venza,2014,Silver,No,,,,,,,,,
Toyota 4-Runner SR5 4x4 2018 White,"₦ 20,500,000",₦ 23.75 M ~ 25.74 M,"Lagos, Ogba",https://pictures-nigeria.jijistatic.com/105119101_NjIwLTQ2NS03NTgxMjIxZmVi.webp,https://pictures-nigeria.jijistatic.com/105119101_MTExLTgzLTc1ODEyMjFmZWI.webp | https://pictures-nigeria.jijistatic.com/105119103_MTExLTgzLTAyZjUwODRlNTc.webp | https://pictures-nigeria.jijistatic.com/105119105_MTExLTgzLTAwNmNhN2UwOGQ.webp | https://pictures-nigeria.jijistatic.com/105119271_MTExLTgzLWE5ZTdkNTJlMmE.webp | https://pictures-nigeria.jijistatic.com/105123624_MTExLTE0OC05MDlmZDNhZGI5.webp,Automatic,,Petrol,Foreign Used,,Okopi Autos,https://jiji.ng/ogba/cars/toyota-4-runner-sr5-4x4-2018-white-kIzqrK3jHGMgMGDXSBjNBpxf.html,No faults,Toyota,4-Runner,2018,White,No,SR5 4x4,SUV,Four Wheel,4000           cc,6,270           hp,5-7,Yes,
Lexus RX 350 AWD 2012 Gray,"₦ 8,000,000",₦ 8 M ~ 8.5 M,"Ekiti, Ado Ekiti",https://pictures-nigeria.jijistatic.com/116497647_NjIwLTYyMC0yODYwZTYyNDRm.webp,https://pictures-nigeria.jijistatic.com/116497647_MTExLTExMS0yODYwZTYyNDRm.webp | https://pictures-nigeria.jijistatic.com/116497650_MTExLTExMS05NWYzNDY2N2Zk.webp | https://pictures-nigeria.jijistatic.com/116497652_MTExLTExMS1jNDVkYWU4OTY4.webp | https://pictures-nigeria.jijistatic.com/116497811_MTExLTExMS1iYjhkN2ZmNTI5.webp | https://pictures-nigeria.jijistatic.com/116497662_MTExLTExMS1iZjk4OGRlYzBj.webp,Automatic,,,Nigerian Used,,Eclat Multi-Biz,https://jiji.ng/ado-ekiti/cars/lexus-rx-350-awd-2012-gray-fc4tokKRcbPj9wplNClWUSlE.html,"No faults, Unpainted",Lexus,RX,2012,Gray,,350 AWD,SUV,,,,,,,
Toyota Corolla 2016 Silver,"₦ 7,200,000",,"Lagos, Ikeja",https://pictures-nigeria.jijistatic.com/116949128_NjIwLTQyOS04MDA4MTNjYTJi.webp,https://pictures-nigeria.jijistatic.com/116949128_MTExLTc3LTgwMDgxM2NhMmI.webp | https://pictures-nigeria.jijistatic.com/116949147_MTExLTc2LTlkNjcwMTQ3NjI.webp | https://pictures-nigeria.jijistatic.com/116949148_MTExLTEyMS02YjlhYjdjMmU4.webp | https://pictures-nigeria.jijistatic.com/116949149_MTExLTc0LTljNjdmN2Q3ZjA.webp | https://pictures-nigeria.jijistatic.com/116949151_MTExLTgxLTRmY2VmZTU1ZDQ.webp,CVT,,Petrol,Foreign Used,,Ikemefuna Akubue,https://jiji.ng/ikeja/cars/toyota-corolla-2016-silver-5PpLkRhoBXEAW0pvKTkR0EiR.html,No faults,Toyota,Corolla,2016,Silver,,LE 4dr Sedan (1.8L 4cyl CVT),Sedan,Front,1800           cc,4,132           hp,5,,5YFBURHE3GP******
Toyota Highlander XLE AWD 2020 Black,"₦ 22,500,000",₦ 34.5 M ~ 37.3 M,"Abuja, Jabi",https://pictures-nigeria.jijistatic.com/114253709_NjIwLTQ2NS0xYmUyNjdjNDFlLTE.webp,https://pictures-nigeria.jijistatic.com/114253709_MTExLTgzLTFiZTI2N2M0MWUtMQ.webp | https://pictures-nigeria.jijistatic.com/114253706_MTExLTgzLTc0MTNhMjIzYzgtMQ.webp | https://pictures-nigeria.jijistatic.com/114253708_MTExLTgzLTEwYmJlODY4OWYtMQ.webp | https://pictures-nigeria.jijistatic.com/114253640_MTExLTgzLThjNWE2ZmU4NjctMQ.webp | https://pictures-nigeria.jijistatic.com/114253743_MTExLTgzLWEwNzIyNTJjOGUtMQ.webp,Automatic,21397 km,Petrol,Foreign Used,,Best Autos Nigeria Limited,https://jiji.ng/jabi/cars/toyota-highlander-xle-awd-2020-black-Bdtd0t4l91GuDdWWlm0ZdQXv.html,No faults,Toyota,Highlander,2020,Black,No,XLE AWD,SUV,All Wheel,3500           cc,6,295           hp,7 or 8,Yes,
Toyota Land Cruiser Prado 2021 Black,"₦ 7,500,000,",₦ 12.75 M ~ 16.15 M,"Imo, Owerri",https://pictures-nigeria.jijistatic.com/115646217_NjIwLTYyMC1lMDliMjRiYjU0.webp,https://pictures-nigeria.jijistatic.com/115646217_MTExLTExMS1lMDliMjRiYjU0.webp | https://pictures-nigeria.jijistatic.com/115646218_MTExLTExMS0zMjJjYTlhYmYw.webp | https://pictures-nigeria.jijistatic.com/115646222_MTExLTExMS0wN2E1MGZhNjAw.webp | https://pictures-nigeria.jijistatic.com/115646223_MTExLTExMS03ZTUzYTQ0ODYy.webp | https://pictures-nigeria.jijistatic.com/115646227_MTExLTExMS1hMDczOGZlNmMz.webp,Automatic,49580 km,,Nigerian Used,,Nti Onyinyechukwu,https://jiji.ng/owerri-municipal/cars/toyota-land-cruiser-prado-2021-black-dvDg0agvhAfMgZNuYVJDtat4.html,"No faults, Original parts",Toyota,Land Cruiser Prado,2021,Black,,,,,,,,,No,
New Land Rover Range Rover 2021 Gold,"₦ 79,000,000",,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/106520292_NjIwLTgyNy1mZDE4NzYwY2E1.webp,https://pictures-nigeria.jijistatic.com/106520292_MTExLTE0OC1mZDE4NzYwY2E1.webp | https://pictures-nigeria.jijistatic.com/106520294_MTExLTE0OC0xY2ZlZGYzNzI5.webp | https://pictures-nigeria.jijistatic.com/106520308_MTExLTgzLTNiODA0ODEyOGY.webp | https://pictures-nigeria.jijistatic.com/106529647_MTExLTE0OC03MWQ2Y2QzMzMz.webp | https://pictures-nigeria.jijistatic.com/106520332_MTExLTE0OC1hMTIxYzIwNGU3.webp,Automatic,,,Brand New,,Bright Fash,https://jiji.ng/gwarinpa/cars/new-land-rover-range-rover-2021-gold-gcrdoSwPJWiRtQW6byYFBDmH.html,No faults,Land Rover,Range Rover,2021,Gold,,,,,,,,,No,
Acura MDX 2007 White,"₦ 5,200,000",₦ 5.12 M ~ 5.27 M,"Lagos, Ikotun/Igando",https://pictures-nigeria.jijistatic.com/114452309_NjIwLTQ2NS0yYTg0Y2UxMGFk.webp,https://pictures-nigeria.jijistatic.com/114452309_MTExLTgzLTJhODRjZTEwYWQ.webp | https://pictures-nigeria.jijistatic.com/114452308_MTExLTgzLWU1ZjY1ZGIxZjA.webp | https://pictures-nigeria.jijistatic.com/114452306_MTExLTgzLWRhYjJkYmFiYmI.webp | https://pictures-nigeria.jijistatic.com/114452307_MTExLTgzLTAwODExZDVhZDY.webp | https://pictures-nigeria.jijistatic.com/114452305_MTExLTgzLTZiZjYwMjRkZjQ.webp,Automatic,124000 km,Petrol,Foreign Used,,Olataiwo Autos’s,https://jiji.ng/igando-ikotun/cars/acura-mdx-2007-white-2UzFcPomyfEXFGRwvapPQdyf.html,"No faults, Unpainted, Original parts",Acura,MDX,2007,White,No,Technology Package AWD (3.7 6cyl 5A),SUV,All Wheel,3700           cc,6,300           hp,7,Yes,
Toyota Tacoma 2014 Gray,"₦ 14,550,000",₦ 13.47 M ~ 14.5 M,"Lagos, Apapa",https://pictures-nigeria.jijistatic.com/97980558_NjIwLTQ2NS0wZDQ5MzJmZWJm.webp,https://pictures-nigeria.jijistatic.com/97980558_MTExLTgzLTBkNDkzMmZlYmY.webp | https://pictures-nigeria.jijistatic.com/97980584_MTExLTgzLWIyZjQ1NDdkYWI.webp | https://pictures-nigeria.jijistatic.com/97980581_MTExLTgzLTRjNjdhMzc4NGI.webp | https://pictures-nigeria.jijistatic.com/97980556_MTExLTgzLTBhMGZjYWJlOWY.webp | https://pictures-nigeria.jijistatic.com/97980566_MTExLTgzLTBlNjRiNjE4MmE.webp,Automatic,,,Foreign Used,,The_Apostles_Autos,https://jiji.ng/apapa/cars/toyota-tacoma-2014-gray-kxeZGNsgDCyCWtlhCLR1t9sl.html,"Unpainted, Original parts, No faults",Toyota,Tacoma,2014,Gray,No,,,,,,,,,
Mercedes-Benz GLK-Class 2012 Black,"₦ 6,500,000,",₦ 6.7 M ~ 7 M,"Lagos, Ogba",https://pictures-nigeria.jijistatic.com/114983227_NjIwLTQ2Ny05ZGIzNzkwYjA1.webp,https://pictures-nigeria.jijistatic.com/114983227_MTExLTg0LTlkYjM3OTBiMDU.webp | https://pictures-nigeria.jijistatic.com/114983231_MTExLTgxLWI3ODc5M2IyYjA.webp | https://pictures-nigeria.jijistatic.com/114983230_MTExLTc2LTI1YzdmZjRkZTg.webp | https://pictures-nigeria.jijistatic.com/114983229_MTExLTk3LWFhN2Y2MDJmMjA.webp | https://pictures-nigeria.jijistatic.com/114983228_MTExLTk4LWFlNDA5NWM3MGM.webp,Automatic,,,Nigerian Used,,Thrift0’clock Autos,https://jiji.ng/ogba/cars/mercedes-benz-glk-class-2012-black-tYc50ndM29Ag6Gvdfnf5Dl97.html,No faults,Mercedes-Benz,GLK-Class,2012,Black,Yes,,,,,,,,,
Mercedes-Benz GLE43 2017 Gray,"₦ 44,500,000,",₦ 45 M ~ 46 M,"Lagos, Surulere",https://pictures-nigeria.jijistatic.com/116680999_NjIwLTgyNy1jNGIxODZjOTI1.webp,https://pictures-nigeria.jijistatic.com/116680999_MTExLTE0OC1jNGIxODZjOTI1.webp | https://pictures-nigeria.jijistatic.com/116680994_MTExLTE0OC1lMzBiZDMzMjM3.webp | https://pictures-nigeria.jijistatic.com/116207855_MTExLTgzLWFkZTEzZjU0ZjQ.webp | https://pictures-nigeria.jijistatic.com/116207857_MTExLTgzLTA3OGIyODUyZDE.webp | https://pictures-nigeria.jijistatic.com/116207858_MTExLTgzLWU2ZmRlMDA3NDI.webp,Automatic,,,Foreign Used,Electric Windows | Sidesteps | Leather Seats | Anti-Lock Brakes | Xenon Lights | Winch | Bullbar | Blind Spot Monitor | Parking Sensors | Sunroof | Cup Holders | Air Conditioning | Android Auto | Airbags | Parking Assist | Electric Mirrors | Roof Rack | LED Headlights | Alloy Wheels | CD Player | Cruise Control | AM/FM Radio | Spotlight | Traction Control | Armrests | CarPlay,FEMS-AUTO-SHOW,https://jiji.ng/surulere/cars/mercedes-benz-gle43-2017-gray-q0CHRnv9cTyoeK4A6TVnrqtq.html,No faults,Mercedes-Benz,GLE43,2017,Gray,No,,,,,,,,Yes,
Lexus RX 350 2011 Gray,"₦ 9,999,999,",₦ 7.96 M ~ 8.23 M,"Lagos, Ojodu",https://pictures-nigeria.jijistatic.com/116843467_NjIwLTYwMy02OGE4NjVmNWY1.webp,https://pictures-nigeria.jijistatic.com/116843467_MTExLTEwOC02OGE4NjVmNWY1.webp | https://pictures-nigeria.jijistatic.com/116843463_MTExLTEwOS05ZmMxOTk4YTlk.webp | https://pictures-nigeria.jijistatic.com/116843464_MTExLTgzLTc1ZDI5ZjM4OWE.webp | https://pictures-nigeria.jijistatic.com/116843462_MTExLTgzLWRiMDU4ZjhlYjU.webp | https://pictures-nigeria.jijistatic.com/116843466_MTExLTgzLTliMzg3MzM3MDc.webp,Automatic,,,Nigerian Used,Airbags | AM/FM Radio,xiiD’s Autos,https://jiji.ng/ojodu/cars/lexus-rx-350-2011-gray-pRednkAzO6H2zVjtQuTO8fC8.html,No faults,Lexus,RX 350,2011,Gray,No,,,,,,,,No,
Mercedes-Benz CLA-Class 2015 White,"₦ 14,500,000",₦ 12.9 M ~ 13.5 M,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/117206951_NjIwLTQ2NS1iYjAxZDUxMDk3.webp,https://pictures-nigeria.jijistatic.com/117206951_MTExLTgzLWJiMDFkNTEwOTc.webp | https://pictures-nigeria.jijistatic.com/117206954_MTExLTgzLTE3NDQ4NmQwNzI.webp | https://pictures-nigeria.jijistatic.com/117207037_MTExLTgzLTFmNmVkYzBjOWE.webp | https://pictures-nigeria.jijistatic.com/117206935_MTExLTgzLWMwYjYxODdiYzg.webp | https://pictures-nigeria.jijistatic.com/117207046_MTExLTgzLTE5ZmIyYTk4MzI.webp,Automatic,56000 km,,Foreign Used,,Best Odudu-Emmanuel,https://jiji.ng/gwarinpa/cars/mercedes-benz-cla-class-2015-white-tGIezChoQffe1tOEW7sKg5rp.html,No faults,Mercedes-Benz,CLA-Class,2015,White,No,,,,,,,,,
New Kia Morning 2022 Gray,"₦ 13,950,000",,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/113428164_NjIwLTgyNy0wNGRiZmIwZWFl.webp,https://pictures-nigeria.jijistatic.com/113428164_MTExLTE0OC0wNGRiZmIwZWFl.webp | https://pictures-nigeria.jijistatic.com/113428280_MTExLTE0OC0wNWViNDg4NmY1.webp | https://pictures-nigeria.jijistatic.com/113428221_MTExLTE0OC02NDI1N2RkZmU0.webp | https://pictures-nigeria.jijistatic.com/113428278_MTExLTE0OC05NGE4YmY5NDgw.webp | https://pictures-nigeria.jijistatic.com/113428231_MTExLTE0OC1hMjU0ZmU2ZDM0.webp,Automatic,2500 km,,Brand New,,Law Moore Exclusive Auto Ltd,https://jiji.ng/gwarinpa/cars/new-kia-morning-2022-gray-1twNa3E7bvF5KzkqocYRS4NQ.html,No faults,Kia,Morning,2022,Gray,No,,,,,,,,,
Dodge Avenger SXT 2013 White,"₦ 6,800,000,",,"Lagos, Ojodu",https://pictures-nigeria.jijistatic.com/115208238_NjIwLTQ2NS1hZWM1NmVkMTUx.webp,https://pictures-nigeria.jijistatic.com/115208238_MTExLTgzLWFlYzU2ZWQxNTE.webp | https://pictures-nigeria.jijistatic.com/115208242_MTExLTgzLTM1MGFiODMwNDM.webp | https://pictures-nigeria.jijistatic.com/115208239_MTExLTgzLThjMmQ3MzI1YjY.webp | https://pictures-nigeria.jijistatic.com/115208243_MTExLTgzLTRiNjdjNDYwYjk.webp | https://pictures-nigeria.jijistatic.com/115208232_MTExLTgzLWJiZTRhNTUzMTY.webp,Automatic,122000 km,Petrol,Foreign Used,Alloy Wheels | CD Player | AM/FM Radio | Air Conditioning | Airbags | Android Auto | Armrests | Anti-Lock Brakes | Cruise Control | Electric Windows | Front Fog Lamps | Leather Seats,Fatai Ogunfowora,https://jiji.ng/ojodu/cars/dodge-avenger-sxt-2013-white-aXKkpCtBuS9NyfV7xLlahmzs.html,No faults,Dodge,Avenger,2013,White,No,SXT,Sedan,Front Wheel,2400           cc,4,173           hp,5,,
Toyota RAV4 2014 Silver,"₦ 11,500,000",₦ 12 M ~ 12.5 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/117366057_NjIwLTQ2NS1hYTY4NWQzMWIz.webp,https://pictures-nigeria.jijistatic.com/117366057_MTExLTgzLWFhNjg1ZDMxYjM.webp | https://pictures-nigeria.jijistatic.com/117366052_MTExLTgzLWUyNDI4NWM0NDI.webp | https://pictures-nigeria.jijistatic.com/117366051_MTExLTgzLWQ0MTQ5Y2U2MTU.webp | https://pictures-nigeria.jijistatic.com/117366058_MTExLTgzLTQzNThlMDg1YmU.webp | https://pictures-nigeria.jijistatic.com/117366053_MTExLTgzLTIwNWZiMmE5ZDc.webp,Automatic,,Petrol,Foreign Used,Air Conditioning | AM/FM Radio | CD Player | Alloy Wheels | Airbags | Blind Spot Monitor | Electric Mirrors | Electric Windows | Leather Seats,Smug Republik Autos (CAZ),https://jiji.ng/amuwo-odofin/cars/toyota-rav4-2014-silver-wq5CiojEe369yUSnNi7rZBfZ.html,No faults,Toyota,RAV4,2014,Silver,No,Limited 4dr SUV AWD (2.5L 4cyl 6A),SUV,All Wheel,2500           cc,4,,5,No,
Toyota Venza V6 2010 Red,"₦ 9,050,000,",₦ 9.5 M ~ 9.79 M,"Lagos, Lekki",https://pictures-nigeria.jijistatic.com/117365428_NjIwLTQ2NS0xOTc5NDY4Zjhl.webp,https://pictures-nigeria.jijistatic.com/117365428_MTExLTgzLTE5Nzk0NjhmOGU.webp | https://pictures-nigeria.jijistatic.com/117365454_MTExLTgzLTgyM2RiYmI1MGY.webp | https://pictures-nigeria.jijistatic.com/117365457_MTExLTgzLTk1NzAxZTFhZTc.webp | https://pictures-nigeria.jijistatic.com/117365459_MTExLTgzLTNkZDVmYjVkMjY.webp | https://pictures-nigeria.jijistatic.com/117365427_MTExLTgzLWU5ZmY2NjMzZGE.webp,Automatic,102000 km,Petrol,Foreign Used,Air Conditioning | AM/FM Radio | CD Player | Alloy Wheels | Airbags | Android Auto | Anti-Lock Brakes | Armrests | Bullbar | CarPlay | Cruise Control | Cup Holders | Electric Windows | Front Fog Lamps | Leather Seats | Roof Rack | Sidesteps | Sunroof | Traction Control,Augustine Ngozichukwu,https://jiji.ng/lekki/cars/toyota-venza-v6-2010-red-m6GoO7Ur2puINhSVidEC9K9G.html,"No faults, Original parts, Unpainted",Toyota,Venza,2010,Red,,V6,Crossover,Front Wheel,3500           cc,6,273           hp,5,,
Toyota Tundra Double Cab 4x4 Limited 2012 Gray,"₦ 13,500,000",₦ 13.5 M ~ 13.9 M,"Lagos, Abule Egba",https://pictures-nigeria.jijistatic.com/91867411_NjIwLTQ2NS02MmQ5ZTU3Mjg2.webp,https://pictures-nigeria.jijistatic.com/91867411_MTExLTgzLTYyZDllNTcyODY.webp | https://pictures-nigeria.jijistatic.com/91867415_MTExLTgzLTc0OWQwOTUxY2M.webp | https://pictures-nigeria.jijistatic.com/91867417_MTExLTgzLWVmMTRiZDdjNDM.webp | https://pictures-nigeria.jijistatic.com/91867416_MTExLTgzLWNmY2ZkY2NmYWI.webp | https://pictures-nigeria.jijistatic.com/91867428_MTExLTgzLWRkZWEwYmNlYmY.webp,Automatic,122320 km,Diesel,Foreign Used,,Oluwaseun Adelowo,https://jiji.ng/lagos-abule-egba/cars/toyota-tundra-double-cab-4x4-limited-2012-gray-6bMBLCjLCQ09rZIKk5UzAis4.html,No faults,Toyota,Tundra,2012,Gray,No,Double Cab 4x4 Limited,Pickup,All Wheel,5700           cc,8,386           hp,5,,
Volvo XC90 T6 AWD 2006 Black,"₦ 4,600,000",,"Lagos, Magodo",https://pictures-nigeria.jijistatic.com/116137044_NjIwLTQ2NC0xM2QwYWQwMzkz.webp,https://pictures-nigeria.jijistatic.com/116137044_MTExLTgzLTEzZDBhZDAzOTM.webp | https://pictures-nigeria.jijistatic.com/116137020_MTExLTgzLWUwZDhkNjgyZGQ.webp | https://pictures-nigeria.jijistatic.com/116137030_MTExLTgzLWI2Nzc1NjY1YTQ.webp | https://pictures-nigeria.jijistatic.com/116137032_MTExLTgzLTg5NjkzOWNjODk.webp | https://pictures-nigeria.jijistatic.com/116137063_MTExLTgzLTU4NzJkNmYzOWU.webp,Automatic,,Petrol,Foreign Used,,Emparia Limited,https://jiji.ng/magodo/cars/volvo-xc90-t6-awd-2006-black-908Uj9LZXvrphRH96yoFrXyC.html,"Original parts, Unpainted, No faults",Volvo,XC90,2006,Black,No,T6 AWD,SUV,All Wheel,2900           cc,6,272           hp,5,,
Toyota Venza V6 2010 White,"₦ 10,500,000",₦ 9.5 M ~ 9.79 M,"Lagos, Ojo",https://pictures-nigeria.jijistatic.com/115967331_NjIwLTYyMC0wNWE1NmNkOWZl.webp,https://pictures-nigeria.jijistatic.com/115967331_MTExLTExMS0wNWE1NmNkOWZl.webp | https://pictures-nigeria.jijistatic.com/115967330_MTExLTExMS1iYjU3NjI0NDBk.webp | https://pictures-nigeria.jijistatic.com/115967329_MTExLTExMS0xNzYzZWY3OTMx.webp | https://pictures-nigeria.jijistatic.com/115968102_MTExLTEwMi1kYTJkNWI1YTk3.webp | https://pictures-nigeria.jijistatic.com/115968101_MTExLTc4LTU1ODk4Mzk3Nzk.webp,Automatic,,Petrol,Foreign Used,,Ezikel Chibuike,https://jiji.ng/ojo/cars/toyota-venza-v6-2010-white-pPS39FUXCC34X4A7hiVVsCKF.html,No faults,Toyota,Venza,2010,White,Yes,V6,Crossover,Front Wheel,3500           cc,6,273           hp,5,,
Toyota 4-Runner 2010 Blue,"₦ 9,800,000,",₦ 9.59 M ~ 10.35 M,"Lagos, Ikeja",https://pictures-nigeria.jijistatic.com/115999783_NjIwLTQ2NS1jNzQ2MmFlODI5.webp,https://pictures-nigeria.jijistatic.com/115999783_MTExLTgzLWM3NDYyYWU4Mjk.webp | https://pictures-nigeria.jijistatic.com/115999749_MTExLTgzLWM2NThjYTEyMzI.webp | https://pictures-nigeria.jijistatic.com/115999776_MTExLTgzLTNhYzNjOWYyYTc.webp | https://pictures-nigeria.jijistatic.com/115999779_MTExLTgzLTkzMzczMmNjM2U.webp | https://pictures-nigeria.jijistatic.com/115999778_MTExLTgzLTUwODczYWVkNmQ.webp,Automatic,,,Nigerian Used,Anti-Lock Brakes | Air Conditioning | CD Player | Cup Holders | Cruise Control | Electric Mirrors | LED Headlights | Spotlight | Blind Spot Monitor | AM/FM Radio | Bullbar | Armrests | Leather Seats | Roof Rack | Sunroof | Sidesteps | Parking Sensors | Winch | Front Fog Lamps | Alloy Wheels | Traction Control | Xenon Lights | Airbags | CarPlay | Android Auto | Parking Assist | Electric Windows,GreenHomes,https://jiji.ng/ikeja/cars/toyota-4-runner-2010-blue-92UKzY6V14gB0a46A2ZhZMiw.html,No faults,Toyota,4-Runner,2010,Blue,Yes,,,,,,,,,
Honda Pilot 2004 Silver,"₦ 1,900,000",₦ 1.66 M ~ 1.84 M,"Lagos, Ikotun/Igando",https://pictures-nigeria.jijistatic.com/117003233_NjIwLTQ4NC0zYjRkN2QwMDIx.webp,https://pictures-nigeria.jijistatic.com/117003233_MTExLTg3LTNiNGQ3ZDAwMjE.webp | https://pictures-nigeria.jijistatic.com/117003270_MTExLTg3LWZiZjNkOTcyMTk.webp | https://pictures-nigeria.jijistatic.com/117003221_MTExLTcxLTgxMjJlYjBhMTA.webp | https://pictures-nigeria.jijistatic.com/117003278_MTExLTg2LTc5MDMyOTM3NzM.webp | https://pictures-nigeria.jijistatic.com/117003368_MTExLTcxLTNmOWZiNzBiYzc.webp,Automatic,,,Nigerian Used,,Prince Noble Prince Noble,https://jiji.ng/igando-ikotun/cars/honda-pilot-2004-silver-8IGvAWGMc7FVmDyk5kzNlR1F.html,First registration,Honda,Pilot,2004,Silver,Yes,,,,,,,,,
Lexus ES 300 2003 Red,"₦ 3,800,000",₦ 3.74 M ~ 3.89 M,"Lagos, Surulere",https://pictures-nigeria.jijistatic.com/117143692_NjIwLTgyNy02Mzg0NGE4NTNl.webp,https://pictures-nigeria.jijistatic.com/117143692_MTExLTE0OC02Mzg0NGE4NTNl.webp | https://pictures-nigeria.jijistatic.com/117143691_MTExLTE0OC04YzdjMGFhMTg5.webp | https://pictures-nigeria.jijistatic.com/117143690_MTExLTE0OC1lMmYyZjg4MmZm.webp | https://pictures-nigeria.jijistatic.com/117143693_MTExLTE0OC05Mzc3M2Q3MzJh.webp | https://pictures-nigeria.jijistatic.com/117143695_MTExLTE0OC0zNTRmZTQxYTVl.webp,Automatic,,Petrol,Foreign Used,,Dr Odunlami Joseph,https://jiji.ng/surulere/cars/lexus-es-300-2003-red-svEmHPOELoL3znH4VmOeQ2vK.html,No faults,Lexus,ES,2003,Red,No,300,Sedan,Front Wheel,3000           cc,6,210           hp,5,,
Nissan Frontier 2009,"₦ 5,800,000",,"Lagos, Isolo",https://pictures-nigeria.jijistatic.com/117195933_NjIwLTgyNy01YTIxODQ3MTAw.webp,https://pictures-nigeria.jijistatic.com/117195933_MTExLTE0OC01YTIxODQ3MTAw.webp | https://pictures-nigeria.jijistatic.com/117195938_MTExLTgzLWM2MWIwNThjNWQ.webp | https://pictures-nigeria.jijistatic.com/117193434_MTExLTE0OC1mODJjNThiMGRh.webp | https://pictures-nigeria.jijistatic.com/117193427_MTExLTgzLThlM2JhMWM2OGU.webp | https://pictures-nigeria.jijistatic.com/117193425_MTExLTgzLTZkMDNhYzRmOWI.webp,Automatic,58517 km,,Foreign Used,,Papas Express,https://jiji.ng/isolo/cars/nissan-frontier-2009-v2jxVTgnMLdgP2UCVyYDYA3r.html,"Original parts, No faults, Unpainted",Nissan,Frontier,2009,Other,No,,,,,,,,,
Toyota Highlander SE 3.5L 4WD 2013 Ivory,"₦ 10,500,000",₦ 10.18 M ~ 10.87 M,"Oyo, Ibadan",https://pictures-nigeria.jijistatic.com/85329596_NjIwLTgyNy1lNjJmYTE0NDMw.webp,https://pictures-nigeria.jijistatic.com/85329596_MTExLTE0OC1lNjJmYTE0NDMw.webp | https://pictures-nigeria.jijistatic.com/85329597_MTExLTE0OC0zMWM3MjMyOGE4.webp | https://pictures-nigeria.jijistatic.com/85329585_MTExLTE0OC0zYWUwOWIyMmVk.webp | https://pictures-nigeria.jijistatic.com/85329595_MTExLTE0OC1jMzQ0ZTU3ZTg0.webp | https://pictures-nigeria.jijistatic.com/85329584_MTExLTE0OC0xNzIwNzk4ZWZk.webp,Automatic,,Petrol,Foreign Used,,AlAmin onlineconcept,https://jiji.ng/ibadan/cars/toyota-highlander-se-3-5l-4wd-2013-ivory-7LW8qeTLqUqbOOpEFXEJsv2u.html,No faults,Toyota,Highlander,2013,Ivory,No,SE 3.5L 4WD,SUV,All Wheel,3500           cc,6,270           hp,5,No,
